year,feature,description,nunique,std,min,max,importance,importance_pct
2024,feat_hype_volatility,feat_hype_volatility,161,0.27295548644386886,0.0,1.0,0.05414130461389765,5.414130461389765
2024,feat_hype_volume_surge,feat_hype_volume_surge,198,0.24478354817984524,0.0,1.0,0.013334788958852376,1.3334788958852377
2024,feat_hype_momentum,feat_hype_momentum,206,0.12764913428708227,0.0,1.0,0.02447233062736093,2.447233062736093
2024,feat_hype_mdd,feat_hype_mdd,206,0.09177759254801393,0.0,0.7369491525423729,0.0474833642127174,4.74833642127174
2024,feat_hype_high_gap,feat_hype_high_gap,206,0.19474105626981694,0.0,0.8136200716845878,0.025291792763563855,2.5291792763563854
2024,feat_hype_LOG_PSR,feat_hype_LOG_PSR,115,0.3986193969449265,0.0,1.0,0.18515072822049963,18.515072822049962
2024,feat_hype_LOG_PBR,feat_hype_LOG_PBR,134,0.31450110398971065,0.0,1.0,0.12256140439978863,12.256140439978862
2024,feat_fin_Capital_Impairment_Ratio,feat_fin_Capital_Impairment_Ratio,8,0.150648307580161,0.0,1.0,0.0,0.0
2024,feat_fin_Debt_Ratio_Pct,feat_fin_Debt_Ratio_Pct,206,0.24601765752101842,0.0,1.0,0.02740859220094909,2.740859220094909
2024,feat_fin_consecutive_op_loss_years,feat_fin_consecutive_op_loss_years,4,0.2773085000305319,0.0,0.6,0.05035626335176836,5.035626335176836
2024,feat_fin_Paid_In_Capital_Increase,feat_fin_Paid_In_Capital_Increase,62,0.3938973996743085,0.0,1.0,0.034353332947034396,3.4353332947034394
2024,feat_fin_3개년_유상증자_누적횟수,feat_fin_3개년_유상증자_누적횟수,4,0.39446786285858576,0.0,1.0,0.018880810555328937,1.8880810555328937
2024,feat_fin_cb_bw_count,feat_fin_cb_bw_count,6,0.22122323035574298,0.0,1.0,0.0,0.0
2024,feat_fin_insider_holdings_pct,feat_fin_insider_holdings_pct,129,0.36504599425408196,0.0,1.0,0.041673493611756006,4.1673493611756
2024,feat_fin_Total_Revenue,feat_fin_Total_Revenue,116,0.3531584366010376,0.0,1.0,0.08464657139341308,8.464657139341309
2024,feat_fin_Total_Equity,feat_fin_Total_Equity,108,0.20998543070265693,0.0,1.0,0.0723530293125277,7.23530293125277
2024,feat_fin_Total_Assets,feat_fin_Total_Assets,195,0.18438188802861305,0.0,0.8996566681120063,0.06032285947945888,6.032285947945888
2024,feat_fin_has_dividend,feat_fin_has_dividend,2,0.4656073963982389,0.0,1.0,0.02681812419897351,2.681812419897351
2024,feat_rd_R&D_Ratio_Pct,feat_rd_R&D_Ratio_Pct,125,0.3979776069604826,0.0,1.0,0.023086790278260376,2.3086790278260376
2024,feat_rd_years_after_listing,feat_rd_years_after_listing,81,0.34151289123978734,0.0,0.9733333333333334,0.017841038150931344,1.7841038150931343
2024,feat_rd_is_tech_listing,feat_rd_is_tech_listing,1,0.0,0.0,0.0,0.0,0.0
2024,feat_rd_absence_3y,최근 3개년 R&D 투자 공백 위험,4,0.27173763386002425,0.0,1.0,0.0,0.0
2024,feat_rd_to_assets_rank_gap,자산 대비 R&D 투자 부족 위험,196,0.28914332234838175,0.0,0.9429223744292238,0.03981327962751567,3.981327962751567
2024,feat_rd_sales_growth_mismatch,매출 성장 대비 R&D 성장 부진 위험,76,0.3894572395312404,0.0,1.0,0.02028012129215787,2.028012129215787
2024,feat_rd_pipeline_disclosure_absence,R&D 성과·파이프라인 공시 부재 위험,4,0.3615731027278153,0.0,1.0,0.009729979803244299,0.9729979803244299
2024,feat_rd_milestone_correction_ratio,R&D 성과 공시 정정 비율 위험,9,0.12320273575307583,0.0,1.0,0.0,0.0
2025,feat_hype_volatility,feat_hype_volatility,174,0.30671875120518877,0.0,1.0,0.05414130461389765,5.414130461389765
